utterance,tagged
"The book, which was old, was donated to the hospital.","The|D book|N ,|, which|WhD was|V old|A ,|, was|V donated|V to|To-Inf the|D hospital|N .|. "
Complementary (SC),Complementary|N (|( SC|N )|) 
Active Voice,Active|A Voice|N 
This is the movie that you said was good.,This|D is|V the|D movie|N that|P you|Pron said|V was|V good|A .|. 
I asked if Mary was here.,I|Pron asked|V if|P Mary|N was|V here|Adv .|. 
It is probable that John is here.,It|Pron is|V probable|A that|P John|N is|V here|Adv .|. 
They know which photographs are on sale.,They|Pron know|V which|WhD photographs|V are|V on|P sale|N .|. 
It is likely that John is here.,It|Pron is|V likely|A that|P John|N is|V here|Adv .|. 
John explained that we cannot afford this car.,John|N explained|V that|P we|Pron can|Mod not|Adv afford|V this|D car|N .|. 
John regrets that they cannot afford this car.,John|N regrets|N that|P they|Pron can|Mod not|Adv afford|V this|D car|N .|. 
"This year, I know the candidates that they will nominate.","This|D year|N ,|, I|Pron know|V the|D candidates|N that|P they|Pron will|Mod nominate|V .|. "
The data that we observe is important.,The|D data|N that|P we|Pron observe|V is|V important|A .|. 
"You don’t know whether one Tube stop is going to be 100 yards away, or whether it’s going to be miles away.","You|Pron don|V ’|A t|N know|V whether|P one|Q Tube|N stop|N is|V going|V to|To-Inf be|V 100|Q yards|N away|Adv ,|, or|Con whether|P it|Pron ’|V s|Adv going|V to|To-Inf be|V miles|N away|Adv .|. "
All he wants to know is which boxes I have checked.,All|D he|Pron wants|V to|To-Inf know|V is|V which|WhD boxes|V I|Pron have|V checked|V .|. 
"People ask why was I not at Coniston, but I would have been far too emotional.","People|N ask|V why|WhAdv was|V I|Pron not|Adv at|P Coniston|N ,|, but|Con I|Pron would|Mod have|V been|V far|Adv too|Adv emotional|A .|. "
I think that you may be right.,I|Pron think|V that|P you|Pron may|Mod be|V right|A .|. 
I doubt if you can help me.,I|Pron doubt|V if|P you|Pron can|Mod help|V me|Pron .|. 
I’m anxious to receive the best medicine possible.,I|Pron ’|V m|Adv anxious|A to|To-Inf receive|V the|D best|A medicine|N possible|A .|. 
He was anxious for tomorrow's events.,He|Pron was|V anxious|A for|P tomorrow|N 's|Pos events|N .|. 
It is vital for there to be peace.,It|Pron is|V vital|A for|P there|Ex to|To-Inf be|V peace|N .|. 
Bill said that he spooked the janitor.,Bill|N said|V that|P he|Pron spooked|V the|D janitor|N .|. 
That he spooked the janitor worried John.,That|P he|Pron spooked|V the|D janitor|N worried|V John|N .|. 
I asked if you knew the answer.,I|Pron asked|V if|P you|Pron knew|V the|D answer|N .|. 
I know that Mary is here.,I|Pron know|V that|D Mary|N is|V here|Adv .|. 
I know that you are on your way.,I|Pron know|V that|P you|Pron are|V on|P your|PosPron way|N .|. 
John is aware that Mary is here.,John|N is|V aware|A that|P Mary|N is|V here|Adv .|. 
I wondered if the situation had upset you.,I|Pron wondered|V if|P the|D situation|N had|V upset|V you|Pron .|. 
I wondered if John's building a spaceship had upset you.,I|Pron wondered|V if|P John|N 's|Pos building|V a|D spaceship|N had|V upset|V you|Pron .|. 
John said that Mary went home.,John|N said|V that|P Mary|N went|V home|N .|. 
John thinks that a photo of himself is on sale.,John|N thinks|V that|P a|D photo|N of|P himself|Pron is|V on|P sale|N .|. 
John thinks that Mary likes him.,John|N thinks|V that|P Mary|N likes|V him|Pron .|. 
John told us that he was going to the supermarket.,John|N told|V us|Pron that|P he|Pron was|V going|V to|To-Inf the|D supermarket|N .|. 
They think that photograph of them is on the market.,They|Pron think|V that|P photograph|N of|P them|Pron is|V on|P the|D market|N .|. 
Passive Voice,Passive|A Voice|N 
It was explained that we cannot afford this car.,It|Pron was|V explained|V that|P we|Pron can|Mod not|Adv afford|V this|D car|N .|. 
It is known that Mary is here.,It|Pron is|V known|V that|P Mary|N is|V here|Adv .|. 
It was said that he was going to the store.,It|Pron was|V said|V that|P he|Pron was|V going|V to|To-Inf the|D store|N .|. 
It is believed that Mary likes him.,It|Pron is|V believed|V that|P Mary|N likes|V him|Pron .|. 
It is known that a picture of them is being sold.,It|Pron is|V known|V that|P a|D picture|N of|P them|Pron is|V being|V sold|V .|. 
The town that John destroyed was rebuilt.,The|D town|N that|WhD John|N destroyed|V was|V rebuilt|V .|. 
They were asked whether they knew the answer.,They|Pron were|V asked|V whether|P they|Pron knew|V the|D answer|N .|. 
It had been wondered whether the situation had been upsetting.,It|Pron had|V been|V wondered|V whether|P the|D situation|N had|V been|V upsetting|V .|. 
It was said that he spooked the janitor.,It|Pron was|V said|V that|P he|Pron spooked|V the|D janitor|N .|. 
It was stated that the movie had not been that good.,It|Pron was|V stated|V that|P the|D movie|N had|V not|Adv been|V that|P good|A .|. 
Adjunct (SA),Adjunct|N (|( SA|N )|) 
Active Voice,Active|A Voice|N 
The president smokes a cigar after dinner.,The|D president|N smokes|V a|D cigar|N after|P dinner|N .|. 
The president smoked a cigar the other day.,The|D president|N smoked|V a|D cigar|N the|D other|A day|N .|. 
These people clearly think the president deliberately lied to Congress.,These|D people|N clearly|Adv think|V the|D president|N deliberately|Adv lied|V to|To-Inf Congress|N .|. 
I liked the book about linguistics.,I|Pron liked|V the|D book|N about|P linguistics|N .|. 
I liked the twentieth century yesterday.,I|Pron liked|V the|D twentieth|A century|N yesterday|N .|. 
John destroyed a town last Friday and Godzilla did so as well.,John|N destroyed|V a|D town|N last|A Friday|N and|Con Godzilla|N did|V so|Adv as|Adv well|Adv .|. 
Bill will destroy a town tomorrow and so will John.,Bill|N will|Mod destroy|V a|D town|N tomorrow|N and|Con so|Adv will|Mod John|N .|. 
I have the book on the table that is wooden.,I|Pron have|V the|D book|N on|P the|D table|N that|WhD is|V wooden|A .|. 
Mary can't go to the supermarket but John can.,Mary|N ca_n't|N go|V to|To-Inf the|D supermarket|N but|Con John|N can|Mod .|. 
I buy books every day but John doesn't.,I|Pron buy|V books|N every|D day|N but|Con John|N does|V n't|Adv .|. 
You talked to Mary after she spoke.,You|Pron talked|V to|To-Inf Mary|N after|P she|Pron spoke|V .|. 
I have the intuition that every morning the sun rises while the earth remains perfectly still.,I|Pron have|V the|D intuition|N that|WhD every|D morning|N the|D sun|N rises|V while|P the|D earth|N remains|V perfectly|Adv still|Adv .|. 
John is likely to be here in three days' time.,John|N is|V likely|A to|To-Inf be|V here|Adv in|P three|Q days|N '|Pos time|N .|. 
This is the movie you said was good when we spoke the other day.,This|D is|V the|D movie|N you|Pron said|V was|V good|A when|WhAdv we|Pron spoke|V the|D other|A day|N .|. 
"After she read his note, John thinks Mary likes him.","After|P she|Pron read|V his|PosPron note|N ,|, John|N thinks|V Mary|N likes|V him|Pron .|. "
John destroyed a town after Bill did so.,John|N destroyed|V a|D town|N after|P Bill|N did|V so|Adv .|. 
He was angry when she hid.,He|Pron was|V angry|A when|WhAdv she|Pron hid|V .|. 
He had deliberately rolled the ball gently down the hill.,He|Pron had|V deliberately|Adv rolled|V the|D ball|N gently|Adv down|P the|D hill|N .|. 
Mary jumped the horse perfectly over the last fence.,Mary|N jumped|V the|D horse|N perfectly|Adv over|P the|D last|A fence|N .|. 
They will load the truck carefully with hay.,They|Pron will|Mod load|V the|D truck|N carefully|Adv with|P hay|N .|. 
John cut himself while shaving.,John|N cut|V himself|Pron while|P shaving|V .|. 
John wept before they spoke.,John|N wept|V before|P they|Pron spoke|V .|. 
My niece could write me letters before her third birthday.,My|PosPron niece|N could|Mod write|V me|Pron letters|N before|P her|PosPron third|A birthday|N .|. 
My nephew could write letters to his parents.,My|PosPron nephew|N could|Mod write|V letters|N to|To-Inf his|PosPron parents|N .|. 
John can go to the market on his bike.,John|N can|Mod go|V to|To-Inf the|D market|N on|P his|PosPron bike|N .|. 
Bill visited his uncle in Brazil earlier today.,Bill|N visited|V his|PosPron uncle|N in|P Brazil|N earlier|Adv today|N .|. 
Mary ate the ice cream without saying anything.,Mary|N ate|V the|D ice|N cream|N without|P saying|V anything|N .|. 
Mary drank some beer that is from the barn from six to nine.,Mary|N drank|V some|D beer|N that|WhD is|V from|P the|D barn|N from|P six|Q to|To-Inf nine|Q .|. 
Mary should buy some flowers for her mother to arrange.,Mary|N should|Mod buy|V some|D flowers|N for|P her|PosPron mother|N to|To-Inf arrange|N .|. 
"John wept, after the executioner left.","John|N wept|N ,|, after|P the|D executioner|N left|V .|. "
Passive Voice,Passive|A Voice|N 
It was said he spooked the janitor who was sitting.,It|Pron was|V said|V he|Pron spooked|V the|D janitor|N who|WhPron was|V sitting|V .|. 
A cigar is being smoked by the president after dinner.,A|D cigar|N is|V being|V smoked|V by|P the|D president|N after|P dinner|N .|. 
A cigar is being smoked by the president who is in his office.,A|D cigar|N is|V being|V smoked|V by|P the|D president|N who|WhPron is|V in|P his|PosPron office|N .|. 
These books were not sold every day.,These|D books|N were|V not|Adv sold|V every|D day|N .|. 
"From six to nine, Mary drank some beer that is from the barn.","From|P six|Q to|To-Inf nine|Q ,|, Mary|N drank|V some|D beer|N that|WhD is|V from|P the|D barn|N .|. "
Some flowers should be bought by Mary for her mother to arrange.,Some|D flowers|N should|Mod be|V bought|V by|P Mary|N for|P her|PosPron mother|N to|To-Inf arrange|N .|. 
Mary was seen with John after she spoke.,Mary|N was|V seen|V with|P John|N after|P she|Pron spoke|V .|. 
Gently down the hill had the ball been deliberately rolled.,Gently|Adv down|Part the|D hill|N had|V the|D ball|N been|V deliberately|Adv rolled|V .|. 
The ice cream has been placed in the fridge by Mary.,The|D ice|N cream|N has|V been|V placed|V in|P the|D fridge|N by|P Mary|N .|. 
My uncle in Brazil was visited by Bill.,My|PosPron uncle|N in|P Brazil|N was|V visited|V by|P Bill|N .|. 
Short Wh-Movement (WS),Short|A Wh-Movement|N (|( WS|N )|) 
Active Voice,Active|A Voice|N 
What languages can you speak?,What|WhPron languages|V can|Mod you|Pron speak|V ?|. 
Which one would you like?,Which|WhD one|Pron would|Mod you|Pron like|V ?|. 
Who was she talking to?,Who|WhPron was|V she|Pron talking|V to|To-Inf ?|. 
Where are you going?,Where|WhAdv are|V you|Pron going|V ?|. 
What hope of finding survivors could there be?,What|WhPron hope|N of|P finding|V survivors|N could|Mod there|Adv be|V ?|. 
What proof that he was there have you found?,What|WhPron proof|N that|P he|Pron was|V there|Adv have|V you|Pron found|V ?|. 
Which assignment have you done?,Which|A assignment|N have|V you|Pron done|V ?|. 
Who called the police?,Who|WhPron called|V the|D police|N ?|. 
Whose car did he borrow?,Whose|A car|N did|V he|Pron borrow|V ?|. 
How many cars do you own?,How|WhAdv many|A cars|N do|V you|Pron own|V ?|. 
Who were you phoning?,Who|WhPron were|V you|Pron phoning|V ?|. 
How far did they go inside the tunnel?,How|WhAdv far|Adv did|V they|Pron go|V inside|P the|D tunnel|N ?|. 
Why would anyone say anything?,Why|WhAdv would|Mod anyone|N say|V anything|N ?|. 
Which movie have you seen?,Which|A movie|N have|V you|Pron seen|V ?|. 
What excuse has he given?,What|WhPron excuse|N has|V he|Pron given|V ?|. 
Who left Bill?,Who|WhPron left|V Bill|N ?|. 
Which photograph of Bill did you put on his desk?,Which|A photograph|N of|P Bill|N did|V you|Pron put|V on|P his|PosPron desk|N ?|. 
What can we finish?,What|WhPron can|Mod we|Pron finish|V ?|. 
What did Bill eat?,What|WhPron did|V Bill|N eat|V ?|. 
Who did you visit?,Who|WhPron did|V you|Pron visit|V ?|. 
Why does gravity exist?,Why|WhAdv does|V gravity|N exist|V ?|. 
Where does it go?,Where|WhAdv does|V it|Pron go|V ?|. 
What exactly does John fear?,What|WhPron exactly|Adv does|V John|N fear|V ?|. 
Who should I talk to?,Who|WhPron should|Mod I|Pron talk|V to|To-Inf ?|. 
Whose book did you read?,Whose|A book|N did|V you|Pron read|V ?|. 
How big is the house?,How|WhAdv big|A is|V the|D house|N ?|. 
How much wood would a wood chuck chuck?,How|WhAdv much|A wood|N would|Mod a|D wood|N chuck|N chuck|N ?|. 
Who will you see?,Who|WhPron will|Mod you|Pron see|V ?|. 
Where did the student live?,Where|WhAdv did|V the|D student|N live|N ?|. 
Whom did he hurt?,Whom|N did|V he|Pron hurt|V ?|. 
Passive Voice,Passive|A Voice|N 
What languages can be spoken?,What|WhPron languages|V can|Mod be|V spoken|V ?|. 
Which picture was chosen?,Which|A picture|N was|V chosen|V ?|. 
Who was being phoned?,Who|WhPron was|V being|V phoned|V ?|. 
Whose car was borrowed?,Whose|A car|N was|V borrowed|V ?|. 
What proof was found by the detective?,What|WhPron proof|N was|V found|V by|P the|D detective|N ?|. 
Which movie was seen?,Which|A movie|N was|V seen|V ?|. 
What can be finished in time?,What|WhPron can|Mod be|V finished|V in|P time|N ?|. 
Whose book was read by the students?,Whose|A book|N was|V read|V by|P the|D students|N ?|. 
What was eaten?,What|WhPron was|V eaten|V ?|. 
Whom was hurt by him?,Whom|N was|V hurt|V by|P him|Pron ?|. 
Long Wh-Movement (WL),Long|Adv Wh-Movement|N (|( WL|N )|) 
Active Voice,Active|A Voice|N 
Who do you think that they were talking to?,Who|WhPron do|V you|Pron think|V that|P they|Pron were|V talking|V to|To-Inf ?|. 
To which of these groups do you consider that you belong to?,To|To-Inf which|WhD of|P these|D groups|N do|V you|Pron consider|V that|P you|Pron belong|V to|To-Inf ?|. 
What might he think that she is hiding?,What|WhPron might|Mod he|Pron think|V that|P she|Pron is|V hiding|V ?|. 
What did Bill say that he fixed?,What|WhPron did|V Bill|N say|V that|P he|Pron fixed|V ?|. 
How far do you think they went inside the tunnel?,How|WhAdv far|Adv do|V you|Pron think|V they|Pron went|V inside|P the|D tunnel|N ?|. 
What are all the things which you got for Christmas?,What|WhPron are|V all|D-Q the|D things|N which|WhD you|Pron got|V for|P Christmas|N ?|. 
Which picture of himself does he think that she will like?,Which|A picture|N of|P himself|Pron does|V he|Pron think|V that|P she|Pron will|Mod like|V ?|. 
What do you think Susan eats?,What|WhPron do|V you|Pron think|V Susan|N eats|N ?|. 
How do you think John fixed the car?,How|WhAdv do|V you|Pron think|V John|N fixed|V the|D car|N ?|. 
Which hotel do you think he is staying in?,Which|A hotel|N do|V you|Pron think|V he|Pron is|V staying|V in|P ?|. 
Which footballer did they say that they published a picture of?,Which|A footballer|N did|V they|Pron say|V that|P they|Pron published|V a|D picture|N of|P ?|. 
Which picture did you say that you have chosen?,Which|A picture|N did|V you|Pron say|V that|P you|Pron have|V chosen|V ?|. 
Whose car did he think had crashed into what?,Whose|A car|N did|V he|Pron think|V had|V crashed|V into|P what|WhPron ?|. 
With whom did John say that I fell in love?,With|P whom|WhPron did|V John|N say|V that|P I|Pron fell|V in|P love|N ?|. 
Which picture of himself wasn't he sure that Mary liked best?,Which|A picture|N of|P himself|Pron was|V n't|Adv he|Pron sure|V that|P Mary|N liked|V best|A ?|. 
What place did you think that Bill likes running to?,What|WhPron place|N did|V you|Pron think|V that|P Bill|N likes|V running|V to|To-Inf ?|. 
What did you say that Bill thinks that I ate?,What|WhPron did|V you|Pron say|V that|P Bill|N thinks|V that|P I|Pron ate|V ?|. 
Who should I tell your mother that you are going to visit tomorrow?,Who|WhPron should|Mod I|Pron tell|V your|PosPron mother|N that|P you|Pron are|V going|V to|To-Inf visit|V tomorrow|N ?|. 
Who should I say your mother allowed you to visit tomorrow?,Who|WhPron should|Mod I|Pron say|V your|PosPron mother|N allowed|V you|Pron to|To-Inf visit|V tomorrow|N ?|. 
When is it that your mother said that you can visit him?,When|WhAdv is|V it|Pron that|P your|PosPron mother|N said|V that|P you|Pron can|Mod visit|V him|Pron ?|. 
Who did you say that I pushed?,Who|WhPron did|V you|Pron say|V that|P I|Pron pushed|V ?|. 
Why do you wonder who Mary would like to invite for dinner?,Why|WhAdv do|V you|Pron wonder|V who|WhPron Mary|N would|Mod like|V to|To-Inf invite|V for|P dinner|N ?|. 
What did Bill persuade John to buy?,What|WhPron did|V Bill|N persuade|V John|N to|To-Inf buy|V ?|. 
What did you say that Bill saw?,What|WhPron did|V you|Pron say|V that|P Bill|N saw|V ?|. 
What did you wonder that I bought for the party?,What|WhPron did|V you|Pron wonder|V that|P I|Pron bought|V for|P the|D party|N ?|. 
Susan asked where to hide what?,Susan|N asked|V where|WhAdv to|To-Inf hide|V what|WhPron ?|. 
Why did the boy say he hurt himself? ,Why|WhAdv did|V the|D boy|N say|V he|Pron hurt|V himself|Pron ?|. 
What did I hear that she said?,What|WhPron did|V I|Pron hear|V that|P she|Pron said|V ?|. 
Who did he imagine she talked to?,Who|WhPron did|V he|Pron imagine|V she|Pron talked|V to|To-Inf ?|. 
Whom did he say that she talked with?,Whom|N did|V he|Pron say|V that|P she|Pron talked|V with|P ?|. 
Passive Voice,Passive|A Voice|N 
How far inside the tunnel do you think it was reached?,How|WhAdv far|Adv inside|P the|D tunnel|N do|V you|Pron think|V it|Pron was|V reached|V ?|. 
Which footballers did John say had their photographs published?,Which|A footballers|N did|V John|N say|V had|V their|PosPron photographs|N published|V ?|. 
